1,20
1,21
1,22
1,23
1,24
1,25
7,26
1,27
1,28
1,29
1,840
2,841
1,842
2,843
2,844
1,845
1,846
1,847
1,848
2,849
1,1730
3,1731
1,1732
7,1733
1,1734
1,1735
5,1736
1,1737
1,1738
1,1739
1,2690
5,2691
2,2692
2,2693
2,2694
1,2695
1,2696
2,2697
2,2698
3,2699
1,3520
2,3521
1,3522
6,3523
3,3524
1,3525
2,3526
1,3527
1,3528
3,3529
1,4390
1,4391
4,4392
1,4393
1,4394
1,4395
1,4396
1,4397
2,4398
1,4399
1,5330
10,5331
3,5332
1,5333
1,5334
1,5335
1,5336
1,5337
2,5338
1,5339
1,6330
5,6331
1,6332
1,6333
3,6334
1,6335
1,6336
1,6337
1,6338
1,6339
1,7260
1,7261
1,7262
1,7263
1,7264
1,7265
7,7266
2,7267
1,7268
3,7269
6,8130
1,8131
2,8132
1,8133
4,8134
1,8135
1,8136
1,8137
3,8138
1,8139
